Name,Bin Number,Preferred Bin,Product Class
BULK-CS-GFR4-41,05-21-2154-DY,Yes,Converted
BULK-CS-GFR4-41,Receiving-SW,Yes,Converted
BULK-CS-GG10-41,V4L2-SW,Yes,Converted
BULK-CS-GG10-41,19-38-3822-DY,Yes,Converted
BULK-CS-GXX-41,Receiving-SW,Yes,Converted
BULK-CS-GXX-41,05-34-3412-DY,Yes,Converted
BULK-FG-1472,QC-SW,Yes,Converted
BULK-FG-1472,FREIGHT-DY,Yes,Converted
BULK-FG-259,01-24-2412-DY,Yes,Converted
BULK-FG-259,Receiving-SW,Yes,Converted
BULK-FG-57,Receiving-SW,Yes,Converted
BULK-FG-57,01-24-2433-DY,Yes,Converted
BULK-FG-619,12-24-2422-DY,Yes,Converted
BULK-FG-619,GBO Shelf-SW,No,Converted
BULK-FG-6218,09-12-1217-DY,Yes,Converted
BULK-FG-6218,GBO Shelf-SW,Yes,Converted
BULK-PD-125,CC8LG-SW,Yes,Converted
BULK-PD-125,FREIGHT-SW,No,Converted
BULK-PD-243,CC8L2-SW,No,Converted
BULK-PD-243,DD4L2-SW,Yes,Converted
BULK-PD-401,XVERT-SW,Yes,Converted
BULK-PD-401,FREIGHT-SW,No,Converted
BULK-PD-590,C8GB-SW,No,Converted
BULK-PD-590,CC5L5-SW,Yes,Converted
BULK-PD-PC-17,11-40-4009-DY,Yes,Converted
BULK-PD-PC-17,Receiving-SW,Yes,Converted
BULK-PF-LDPE-27,FREIGHT-DY,Yes,Pass Through
BULK-PF-LDPE-27,M4LG-SW,Yes,Pass Through
BULK-PF-PC-41,U5L4-SW,Yes,Converted
BULK-PF-PC-41,FREIGHT-DY,Yes,Converted
BULK-PF-PET-1,NEAR SHELVING-DY,Yes,Parent
BULK-PF-PET-1,F4LGB-SW,Yes,Parent
BULK-PF-PET-2,NEAR SHELVING-DY,No,Parent
BULK-PF-PET-2,F4LGB-SW,Yes,Parent
BULK-PF-PET-3,NEAR SHELVING-DY,No,Parent
BULK-PF-PET-3,F4LGB-SW,Yes,Parent
BULK-PF-PET-4,NEAR SHELVING-DY,No,Parent
BULK-PF-PET-4,F4LGB-SW,Yes,Parent
BULK-PF-PET-5,NEAR SHELVING-DY,No,Parent
BULK-PF-PET-5,F4LGB-SW,Yes,Parent
BULK-PF-PET-6,F4LGB-SW,Yes,Parent
BULK-PF-PET-6,NEAR SHELVING-DY,Yes,Parent
BULK-PF-PET-7,NEAR SHELVING-DY,Yes,Parent
BULK-PF-PET-7,F4LGB-SW,Yes,Parent
BULK-PF-PET-8,NEAR SHELVING-DY,Yes,Parent
BULK-PF-PET-8,F4LGB-SW,Yes,Parent
BULK-PL-4,CC2LG-SW,Yes,Converted
BULK-PL-4,CC1LG-SW,No,Converted
BULK-PR-ABS-145,W3L1-SW,Yes,Converted
BULK-PR-ABS-145,07-39-3910-DY,Yes,Converted
BULK-PR-AC-185,FREIGHT-DY,Yes,Converted
BULK-PR-AC-185,QC-SW,Yes,Converted
BULK-PR-AC-241,FREIGHT-DY,Yes,Converted
BULK-PR-AC-241,QC-SW,Yes,Converted
BULK-PR-NYL-125,S12L3-SW,Yes,Converted
BULK-PR-NYL-125,19-38-3804-DY,Yes,Converted
BULK-PR-PTFE-92,O1L4-SW,Yes,Converted
BULK-PR-PTFE-92,S9L8-SW,No,Converted
BULK-PS-AC-259,S9L6-SW,Yes,Converted
BULK-PS-AC-259,FREIGHT-DY,Yes,Converted
BULK-PS-ACB-1,Receiving-SW,Yes,Converted
BULK-PS-ACB-1,03-01-124-DY,Yes,Converted
BULK-PS-ACB-266,U5L1-SW,Yes,Converted
BULK-PS-ACB-266,09-05-541-DY,Yes,Converted
BULK-PS-ACB-375,W5L7-SW,Yes,Converted
BULK-PS-ACB-375,FREIGHT-DY,Yes,Converted
BULK-PS-ACB-376,X3L3-SW,Yes,Converted
BULK-PS-ACB-376,FREIGHT-DY,Yes,Converted
BULK-PS-ACR-1,Side Wall-DY,Yes,Parent
BULK-PS-ACR-1,FREIGHT-SW,Yes,Parent
BULK-PS-ACR-2,FREIGHT-SW,Yes,Parent
BULK-PS-ACR-2,FREIGHT-DY,Yes,Parent
BULK-PS-ACR-3,FREIGHT-SW,Yes,Parent
BULK-PS-ACR-3,FREIGHT-DY,Yes,Parent
BULK-PS-ACR-9,W6L5-SW,Yes,Converted
BULK-PS-ACR-9,19-37-3719-DY,Yes,Converted
BULK-PS-CAC-38,Q3LGB-SW,No,Converted
BULK-PS-CAC-38,Q4LG-SW,Yes,Converted
BULK-PS-CAC-4,FREIGHT-SW,Yes,Parent
BULK-PS-CAC-4,FREIGHT-DY,No,Parent
BULK-PS-CAC-461,CC8LG-SW,No,Converted
BULK-PS-CAC-461,XVERT-SW,Yes,Converted
BULK-PS-CAC-5,FREIGHT-SW,Yes,Parent
BULK-PS-CAC-5,FREIGHT-DY,No,Parent
BULK-PS-CAC-50,K10LGB-SW,No,Converted
BULK-PS-CAC-50,K10LGA-SW,No,Converted
BULK-PS-CAC-50,Z1LG-SW,Yes,Converted
BULK-PS-CAC-63,17-04-418-DY,Yes,Converted
BULK-PS-CAC-63,W4L5-SW,No,Converted
BULK-PS-NYL-11,J3L1-SW,No,Parent
BULK-PS-NYL-11,G8LGA-SW,Yes,Parent
BULK-PS-PC-3,FREIGHT-SW,Yes,Parent
BULK-PS-PC-3,FREIGHT-DY,No,Parent
BULK-PS-PC-39,TRAILER 6-SW,Yes,Converted
BULK-PS-PC-39,Q2L4-SW,No,Converted
BULK-PS-PC-396,DD2LG-SW,Yes,Converted
BULK-PS-PC-396,DD5L2-SW,No,Converted
BULK-PS-PC-4,FREIGHT-SW,Yes,Parent
BULK-PS-PC-4,FREIGHT-DY,Yes,Parent
BULK-PS-PC-41,TRAILER 6-SW,No,Converted
BULK-PS-PC-41,Q2L4-SW,No,Converted
BULK-PS-PC-455,10-10C-C04-DY,Yes,Converted
BULK-PS-PC-455,Receiving-SW,Yes,Converted
BULK-PS-PC-5,FREIGHT-SW,Yes,Parent
BULK-PS-PC-5,FREIGHT-DY,Yes,Parent
BULK-PS-PC-53,K10LGB-SW,No,Converted
BULK-PS-PC-53,K10LGA-SW,No,Converted
BULK-PS-PC-53,CC8L6-SW,Yes,Converted
BULK-PS-PC-580,GBO Shelf-SW,No,Converted
BULK-PS-PC-580,CC2L3-SW,No,Converted
BULK-PS-PC-588,GBO Shelf-SW,No,Converted
BULK-PS-PC-588,QC-SW,No,Converted
BULK-PS-PC-611,QC-SW,No,Converted
BULK-PS-PC-611,GBO Shelf-SW,No,Converted
BULK-PS-PC-616,GBO Shelf-SW,No,Converted
BULK-PS-PC-616,QC-SW,No,Converted
BULK-PS-PC-627,GBO Shelf-SW,No,Converted
BULK-PS-PC-627,QC-SW,No,Converted
BULK-PS-PC-7,FREIGHT-DY,Yes,Parent
BULK-PS-PC-7,FREIGHT-SW,Yes,Parent
BULK-PS-PC-88,V6LG-SW,No,Converted
BULK-PS-PC-88,Y1LG-SW,Yes,Converted
BULK-PS-PE-213,S11L3-SW,Yes,Converted
BULK-PS-PE-213,U4L3-SW,No,Converted
BULK-PS-PE-493,DD3LG-SW,No,Converted
BULK-PS-PE-493,S7LG-SW,Yes,Converted
BULK-PS-PE-88,10-16-1618-DY,Yes,Converted
BULK-PS-PE-88,Receiving-SW,Yes,Converted
BULK-PS-PP-357,J3LG-SW,Yes,Parent
BULK-PS-PP-357,Q2L3-SW,No,Parent
BULK-PS-PTFE-26,U7L6-SW,Yes,Converted
BULK-PS-PTFE-26,V3LG-SW,No,Converted
BULK-PS-PTFE-961,S6L5-SW,No,Parent
BULK-PS-PTFE-961,J1L5-SW,Yes,Parent
BULK-PS-PVC-338,S8L6-SW,No,Converted
BULK-PS-PVC-338,V4L2-SW,Yes,Converted
BULK-PS-PVC-6,K8L2-SW,Yes,Parent
BULK-PS-PVC-6,DD4L3-SW,No,Parent
BULK-PS-UHMW-28,V7LG-SW,No,Converted
BULK-PS-UHMW-28,W8LG-SW,No,Converted
BULK-PS-UHMW-295,FREIGHT-DY,Yes,Converted
BULK-PS-UHMW-295,X3L3-SW,Yes,Converted
BULK-PS-UHMW-536,K9LG-SW,No,Parent
BULK-PS-UHMW-536,DD5LG-SW,No,Parent
BULK-PS-UHMW-537,DD5LG-SW,No,Parent
BULK-PS-UHMW-537,P6LG-SW,No,Parent
BULK-PS-UHMW-538,K9L2-SW,Yes,Parent
BULK-PS-UHMW-538,DD4LG-SW,No,Parent
BULK-PS-UHMW-62,T6L1-SW,Yes,Converted
BULK-PS-UHMW-62,19-37-3720-DY,Yes,Converted
BULK-PS-UHMW-72,08-08H-H19-DY,Yes,Converted
BULK-PS-UHMW-72,W6L2-SW,No,Converted
BULK-PS-UHMW-900,XVERT-SW,No,Converted
BULK-PS-UHMW-900,DD1L2-SW,No,Converted
BULK-PS-UHMW-937,BB2L1-SW,Yes,Converted
BULK-PS-UHMW-937,FREIGHT-DY,Yes,Converted
BULK-PS-UHMWB-17,WV4LG-SW,No,Converted
BULK-PS-UHMWB-17,Y4L4-SW,No,Converted
BULK-RS-BHS50-203,D5L5B-SW,No,Converted
BULK-RS-BHS50-203,D5L4A-SW,No,Converted
BULK-RS-BHS50-210,D5L4A-SW,No,Converted
BULK-RS-BHS50-210,D5L5B-SW,No,Converted
BULK-RS-BHS50-245,D4L1A-SW,No,Converted
BULK-RS-BHS50-245,D6L2B-SW,No,Converted
BULK-RS-BHS50-324,D4L1A-SW,No,Converted
BULK-RS-BHS50-324,D6L2B-SW,No,Converted
BULK-RS-BHS60-203,D5L1B-SW,No,Converted
BULK-RS-BHS60-203,D5L3B-SW,No,Converted
BULK-RS-BHS60-22,GBO Shelf-SW,Yes,Converted
BULK-RS-BHS60-22,15-22-2209-DY,Yes,Converted
BULK-RS-BHS60-220,D5L2A-SW,No,Parent
BULK-RS-BHS60-220,D5L2B-SW,No,Parent
BULK-RS-BHS60-23,Receiving-SW,Yes,Converted
BULK-RS-BHS60-23,16-05-521-DY,Yes,Converted
BULK-RS-BHS60-325,D5L2A-SW,No,Converted
BULK-RS-BHS60-325,D5L2B-SW,No,Converted
BULK-RS-BHS70-150,Receiving-SW,Yes,Converted
BULK-RS-BHS70-150,17-16-1622-DY,Yes,Converted
BULK-RS-BHS70-203,D5L3A-SW,No,Converted
BULK-RS-BHS70-203,D5L3B-SW,No,Converted
BULK-RS-BHS70-206,E6L1B-SW,No,Converted
BULK-RS-BHS70-206,D6L2A-SW,No,Converted
BULK-RS-E60-134,04-03-345-DY,Yes,Converted
BULK-RS-E60-134,GBO Shelf-SW,Yes,Converted
BULK-RS-E60-243,GBO Shelf-SW,No,Converted
BULK-RS-E60-243,05-15-1522-DY,Yes,Converted
BULK-RS-E60-244,17-29-2927-DY,Yes,Converted
BULK-RS-E60-244,GBO Shelf-SW,Yes,Converted
BULK-RS-E60-26,Receiving-SW,Yes,Converted
BULK-RS-E60-26,18-26-2616-DY,Yes,Converted
BULK-RS-E60-642,08-07-710-DY,Yes,Converted
BULK-RS-E60-642,Receiving-SW,Yes,Converted
BULK-RS-E60-889,D7LGB-SW,Yes,Parent
BULK-RS-E60-889,E8L5A-SW,No,Parent
BULK-RS-E60HT-24,Receiving-SW,Yes,Converted
BULK-RS-E60HT-24,18-26-2619-DY,Yes,Converted
BULK-RS-EN50-20,S1LG-SW,No,Converted
BULK-RS-EN50-20,S3L1-SW,Yes,Converted
BULK-RS-H40-239,E8LGA-SW,No,Parent
BULK-RS-H40-239,C2LGC-SW,Yes,Parent
BULK-RS-H40-24,02-02-225-DY,Yes,Converted
BULK-RS-H40-24,GBO Shelf-SW,Yes,Converted
BULK-RS-H40-637,FREIGHT-DY,Yes,Converted
BULK-RS-H40-637,QC-SW,Yes,Converted
BULK-RS-H40-867,C2L2A-SW,No,Parent
BULK-RS-H40-867,C8LGB-SW,No,Parent
BULK-RS-H40-867,C2L3A-SW,No,Parent
BULK-RS-H40-867,C2L3B-SW,No,Parent
BULK-RS-H40-867,C2L1A-SW,Yes,Parent
BULK-RS-H40-868,C2L1B-SW,Yes,Parent
BULK-RS-H40-868,C2L2B-SW,No,Parent
BULK-RS-H40-869,C2L1C-SW,Yes,Parent
BULK-RS-H40-869,C2L2A-SW,No,Parent
BULK-RS-H40-9,GBO Shelf-SW,Yes,Converted
BULK-RS-H40-9,08-08H-H05-DY,Yes,Converted
BULK-RS-H40-92,GBO Shelf-SW,Yes,Converted
BULK-RS-H40-92,19-25-2522-DY,Yes,Converted
BULK-RS-H50-209,E2LGB-SW,No,Converted
BULK-RS-H50-209,C6L2B-SW,No,Converted
BULK-RS-H50-215,C6L3A-SW,No,Parent
BULK-RS-H50-215,C3L1E-SW,Yes,Parent
BULK-RS-H50-216,C6L2A-SW,No,Parent
BULK-RS-H50-216,C3LGA-SW,Yes,Parent
BULK-RS-H50-217,C3LGB-SW,Yes,Parent
BULK-RS-H50-217,E2LGB-SW,No,Parent
BULK-RS-H50-924,C3L1A-SW,Yes,Parent
BULK-RS-H50-924,H8L1A-SW,No,Parent
BULK-RS-H50-925,C3L1B-SW,Yes,Parent
BULK-RS-H50-925,C7L5A-SW,No,Parent
BULK-RS-H50-926,C3L1C-SW,Yes,Parent
BULK-RS-H50-926,E4L3A-SW,No,Parent
BULK-RS-H50-927,E4L3C-SW,No,Parent
BULK-RS-H50-927,C3L1D-SW,Yes,Parent
BULK-RS-H50-928,E4L3B-SW,No,Parent
BULK-RS-H50-928,C3LGE-SW,Yes,Parent
BULK-RS-H60-108,Receiving-SW,Yes,Converted
BULK-RS-H60-108,02-02F-F18-DY,Yes,Converted
BULK-RS-H60-207,S5L1-SW,No,Converted
BULK-RS-H60-207,GBO Shelf-SW,Yes,Converted
BULK-RS-H60-208,GBO Shelf-SW,Yes,Converted
BULK-RS-H60-208,D6L2B-SW,No,Converted
BULK-RS-H60-235,D3LGB-SW,No,Parent
BULK-RS-H60-235,C4L1D-SW,Yes,Parent
BULK-RS-H60-238,C4LGB-SW,Yes,Parent
BULK-RS-H60-238,C7L2B-SW,No,Parent
BULK-RS-H60-240,C4LGD-SW,Yes,Parent
BULK-RS-H60-240,B3L1B-SW,No,Parent
BULK-RS-H60-241,C4LGE-SW,Yes,Parent
BULK-RS-H60-241,C7L2A-SW,No,Parent
BULK-RS-H60-279,Receiving-SW,Yes,Converted
BULK-RS-H60-279,09-08-816-DY,Yes,Converted
BULK-RS-H60-434,Receiving-SW,Yes,Converted
BULK-RS-H60-434,19-34-3417-DY,Yes,Converted
BULK-RS-H60-861,C5LGB-SW,No,Parent
BULK-RS-H60-861,C4L1A-SW,Yes,Parent
BULK-RS-H60-862,C6L1A-SW,No,Parent
BULK-RS-H60-862,C4L1B-SW,Yes,Parent
BULK-RS-H60FDA-23,GBO Shelf-SW,Yes,Converted
BULK-RS-H60FDA-23,19-26-2624-DY,Yes,Converted
BULK-RS-H60FDA-318,U2L4-SW,Yes,Converted
BULK-RS-H60FDA-318,19-38-3803-DY,Yes,Converted
BULK-RS-H60FDA-342,GBO Shelf-SW,Yes,Converted
BULK-RS-H60FDA-342,03-50-5008-DY,Yes,Converted
BULK-RS-H70-1000,GBO Shelf-SW,Yes,Converted
BULK-RS-H70-1000,26-13-700-DY,Yes,Converted
BULK-RS-H70-214,K6LGC-SW,No,Parent
BULK-RS-H70-214,K6LGA-SW,No,Parent
BULK-RS-H70-214,E6LGA-SW,No,Parent
BULK-RS-H70-214,C6LGB-SW,No,Parent
BULK-RS-H70-214,C5L1D-SW,Yes,Parent
BULK-RS-H70-214,E6LGB-SW,No,Parent
BULK-RS-H70-215,E7L2A-SW,No,Parent
BULK-RS-H70-215,C5L1E-SW,Yes,Parent
BULK-RS-H70-217,C5L1B-SW,No,Parent
BULK-RS-H70-217,E6LGB-SW,No,Parent
BULK-RS-H70-217,C5LGB-SW,Yes,Parent
BULK-RS-H70-218,C7L3B-SW,No,Parent
BULK-RS-H70-218,C5LGC-SW,Yes,Parent
BULK-RS-H70-903,C5L1A-SW,Yes,Parent
BULK-RS-H70-903,C8L4A-SW,No,Parent
BULK-RS-H70-905,C5L3A-SW,No,Parent
BULK-RS-H70-905,C5L1C-SW,Yes,Parent
BULK-RS-H70-906,C5LGD-SW,Yes,Parent
BULK-RS-H70-906,E7L1B-SW,No,Parent
BULK-RS-H70-907,E8LGB-SW,No,Parent
BULK-RS-H70-907,E7LGB-SW,No,Parent
BULK-RS-H70-907,K6LGB-SW,No,Parent
BULK-RS-H70-907,E6LGB-SW,No,Parent
BULK-RS-H70-907,C5LGE-SW,Yes,Parent
BULK-RS-H70-973,GBO Shelf-SW,No,Converted
BULK-RS-H70-973,S3L11-SW,No,Converted
BULK-RS-H80-1,C8L2B-SW,No,Parent
BULK-RS-H80-1,C6L1A-SW,Yes,Parent
BULK-RS-H80-2,C6L1B-SW,Yes,Parent
BULK-RS-H80-2,C8L5B-SW,No,Parent
BULK-RS-H80-3,C6L1C-SW,Yes,Parent
BULK-RS-H80-3,C8L5A-SW,No,Parent
BULK-RS-H80-4,C6L1D-SW,Yes,Parent
BULK-RS-H80-4,C8L5B-SW,No,Parent
BULK-RS-H80-5,C6LGA-SW,Yes,Parent
BULK-RS-H80-5,C8L5A-SW,No,Parent
BULK-RS-H80-6,C6LGB-SW,Yes,Parent
BULK-RS-H80-6,C8L2B-SW,No,Parent
BULK-RS-H80-7,C6LGC-SW,Yes,Parent
BULK-RS-H80-7,C8L2A-SW,No,Parent
BULK-RS-H80-8,C6LGD-SW,Yes,Parent
BULK-RS-H80-8,C6L1B-SW,No,Parent
BULK-RS-H90-1,C7L1A-SW,Yes,Parent
BULK-RS-H90-1,C8L3A-SW,No,Parent
BULK-RS-H90-2,C7L1B-SW,Yes,Parent
BULK-RS-H90-2,C8L1B-SW,No,Parent
BULK-RS-H90-3,C7L1C-SW,Yes,Parent
BULK-RS-H90-3,C8L1A-SW,No,Parent
BULK-RS-H90-4,C7L1D-SW,Yes,Parent
BULK-RS-H90-4,C8L3A-SW,No,Parent
BULK-RS-H90-5,C8L1A-SW,No,Parent
BULK-RS-H90-5,C7LGA-SW,Yes,Parent
